Log,Month,Country,Serial Number,Product_A,Product_B,Product_C,Shipped
2022-01-03 09:15:23,2022-01,Spain,SN001,120,85,60,Yes
2022-02-07 14:42:10,2022-02,Germany,SN002,135,90,65,Yes
2022-03-05 11:08:45,2022-03,France,SN003,150,95,70,Yes
2022-04-09 16:27:31,2022-04,Italy,SN004,160,100,75,No
2022-05-02 08:55:12,2022-05,Spain,SN005,170,105,80,Yes
2022-06-06 13:33:59,2022-06,Germany,SN006,180,110,85,Yes
2022-07-04 10:21:17,2022-07,France,SN007,190,115,90,Yes
2022-08-08 15:49:03,2022-08,Italy,SN008,200,120,95,No
2022-09-03 09:12:44,2022-09,Spain,SN009,210,125,100,Yes
2022-10-07 14:38:29,2022-10,Germany,SN010,220,130,105,Yes
2022-11-05 11:03:18,2022-11,France,SN011,230,135,110,Yes
2022-12-09 16:19:55,2022-12,Italy,SN012,240,140,115,No
2023-01-03 09:45:11,2023-01,Spain,SN013,250,145,120,Yes
2023-02-06 14:22:33,2023-02,Germany,SN014,260,150,125,Yes
2023-03-04 10:58:47,2023-03,France,SN015,270,155,130,Yes
2023-04-08 15:36:29,2023-04,Italy,SN016,280,160,135,No
2023-05-02 09:07:14,2023-05,Spain,SN017,290,165,140,Yes
2023-06-05 13:44:51,2023-06,Germany,SN018,300,170,145,Yes
2023-07-03 10:33:06,2023-07,France,SN019,310,175,150,Yes
2023-08-07 15:59:42,2023-08,Italy,SN020,320,180,155,No
2023-09-04 09:18:39,2023-09,Spain,SN021,330,185,160,Yes
2023-10-09 14:47:27,2023-10,Germany,SN022,340,190,165,Yes
2023-11-06 11:12:15,2023-11,France,SN023,350,195,170,Yes
2023-12-08 16:25:58,2023-12,Italy,SN024,360,200,175,No
2024-01-03 09:32:21,2024-01,Spain,SN025,370,205,180,Yes
2024-02-05 14:15:44,2024-02,Germany,SN026,380,210,185,Yes
2024-03-07 10:49:33,2024-03,France,SN027,390,215,190,Yes
2024-04-09 15:41:19,2024-04,Italy,SN028,400,220,195,No
2024-05-06 09:03:56,2024-05,Spain,SN029,410,225,200,Yes
2024-06-10 13:28:37,2024-06,Germany,SN030,420,230,205,Yes
2024-07-08 10:17:22,2024-07,France,SN031,430,235,210,Yes
2024-08-12 16:53:10,2024-08,Italy,SN032,440,240,215,No
